Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2024-11-14,36.8,37.7,38.25,36.8,9863683,372402528.0,信达生物,01801,HK
2024-11-15,37.4,37.2,38.5,36.8,6219874,232404868.0,信达生物,01801,HK
2024-11-18,36.85,35.95,37.15,35.7,8644793,311802816.0,信达生物,01801,HK
2024-11-19,35.85,35.9,36.4,35.6,5251397,189023019.0,信达生物,01801,HK
2024-11-20,36.0,38.8,38.95,35.55,20854284,797169600.0,信达生物,01801,HK
2024-11-21,38.5,38.5,40.1,38.25,9518049,373797024.0,信达生物,01801,HK
2024-11-22,38.7,37.0,38.7,36.9,6116123,229278460.0,信达生物,01801,HK
2024-11-25,37.05,37.1,38.35,36.95,13515410,503626592.0,信达生物,01801,HK
2024-11-26,37.4,38.4,38.7,37.15,7218659,275723840.0,信达生物,01801,HK
2024-11-27,38.4,39.35,40.0,38.35,11415857,449669344.0,信达生物,01801,HK
2024-11-28,39.4,39.15,39.95,38.7,6205137,243709663.0,信达生物,01801,HK
2024-11-29,39.15,38.55,39.5,38.4,7052864,273588064.0,信达生物,01801,HK
2024-12-02,38.35,38.65,39.5,38.1,8727890,339328000.0,信达生物,01801,HK
2024-12-03,38.5,38.0,39.15,37.3,10382101,395339136.0,信达生物,01801,HK
2024-12-04,38.2,37.55,38.3,36.9,10350681,386809072.0,信达生物,01801,HK
2024-12-05,37.55,37.65,38.0,36.35,9356637,349922896.0,信达生物,01801,HK
2024-12-06,37.65,37.8,38.6,37.0,7899257,299089440.0,信达生物,01801,HK
2024-12-09,38.7,39.1,39.25,38.1,5381567,208668386.0,信达生物,01801,HK
2024-12-10,40.05,38.15,40.1,38.15,5024627,195160941.0,信达生物,01801,HK
2024-12-11,38.25,38.2,38.8,37.85,4592040,175804732.0,信达生物,01801,HK
2024-12-12,37.5,38.1,38.55,37.5,5026654,191908584.0,信达生物,01801,HK
2024-12-13,38.05,37.4,38.05,37.1,4434799,166403529.0,信达生物,01801,HK
2024-12-16,37.35,36.25,37.45,35.7,9482321,343939520.0,信达生物,01801,HK
2024-12-17,36.3,36.2,36.75,36.0,5366256,195057849.0,信达生物,01801,HK
2024-12-18,36.15,36.5,36.9,36.0,4902580,178267388.0,信达生物,01801,HK
2024-12-19,35.9,36.0,36.5,35.8,5321808,191554470.0,信达生物,01801,HK
2024-12-20,36.1,35.2,36.15,35.1,8289830,293722976.0,信达生物,01801,HK
2024-12-23,35.8,35.05,35.85,34.6,7038339,246087566.0,信达生物,01801,HK
2024-12-24,35.05,35.8,36.15,34.4,4634929,164700328.0,信达生物,01801,HK
2024-12-27,36.05,35.6,36.1,35.0,7360463,261905839.0,信达生物,01801,HK
2024-12-30,35.6,36.1,37.25,35.75,8410729,306510976.0,信达生物,01801,HK
2024-12-31,36.1,36.6,37.15,35.85,3178987,116609774.0,信达生物,01801,HK
2025-01-02,37.1,35.5,37.75,35.35,6499614,235926367.0,信达生物,01801,HK
2025-01-03,36.1,35.45,36.65,35.2,5093290,182073544.0,信达生物,01801,HK
2025-01-06,35.7,35.3,36.35,35.0,5078949,180287021.0,信达生物,01801,HK
2025-01-07,35.25,35.15,35.6,34.7,5526262,194282375.0,信达生物,01801,HK
2025-01-08,35.2,33.95,35.3,33.55,10872775,370263120.0,信达生物,01801,HK
2025-01-09,33.6,33.1,34.5,32.85,9748926,325345856.0,信达生物,01801,HK
2025-01-10,33.1,33.55,33.6,32.75,9207538,305422992.0,信达生物,01801,HK
2025-01-13,33.3,33.85,34.3,33.0,8761451,295964960.0,信达生物,01801,HK
2025-01-14,34.1,34.65,34.95,33.9,4703219,162795627.0,信达生物,01801,HK
2025-01-15,34.45,33.45,34.8,33.35,5830032,197686751.0,信达生物,01801,HK
2025-01-16,33.75,30.0,34.35,28.65,43198071,1316783744.0,信达生物,01801,HK
2025-01-17,30.5,31.45,32.0,30.1,19573300,609527616.0,信达生物,01801,HK
2025-01-20,31.35,31.05,32.6,30.9,16679814,527074144.0,信达生物,01801,HK
2025-01-21,31.25,31.3,31.65,30.85,8560629,267782334.0,信达生物,01801,HK
2025-01-22,31.3,31.9,32.25,30.75,14249418,450649488.0,信达生物,01801,HK
2025-01-23,32.05,31.65,32.5,31.4,7738811,246466252.0,信达生物,01801,HK
2025-01-24,31.95,32.35,33.0,31.5,8377822,271220592.0,信达生物,01801,HK
2025-01-27,32.45,33.0,33.4,32.15,4905075,161561464.0,信达生物,01801,HK
2025-01-28,33.0,33.05,33.15,32.55,1259000,41536050.0,信达生物,01801,HK
2025-02-03,32.75,32.75,33.05,31.3,3846192,124239478.0,信达生物,01801,HK
2025-02-04,31.6,33.15,33.55,31.6,1778368,58859601.0,信达生物,01801,HK
2025-02-05,33.15,33.05,33.35,32.15,6546546,214777609.0,信达生物,01801,HK
2025-02-06,33.05,35.8,36.0,32.7,15947057,560652896.0,信达生物,01801,HK
2025-02-07,36.0,36.25,37.2,35.55,11951937,436467040.0,信达生物,01801,HK
2025-02-10,36.45,36.35,37.45,36.25,9516738,350268032.0,信达生物,01801,HK
2025-02-11,36.45,35.9,36.85,35.65,7660163,276205056.0,信达生物,01801,HK
2025-02-12,36.4,35.5,36.4,34.65,12744479,449145472.0,信达生物,01801,HK
2025-02-13,36.0,35.85,36.8,35.5,11985133,433181136.0,信达生物,01801,HK
2025-02-14,36.3,37.5,38.2,36.15,17503292,653323264.0,信达生物,01801,HK
2025-02-17,37.8,38.5,39.4,37.35,21450533,828315680.0,信达生物,01801,HK
2025-02-18,38.4,38.1,38.85,37.65,14517523,555418976.0,信达生物,01801,HK
2025-02-19,37.95,38.5,38.7,37.4,7801488,299144656.0,信达生物,01801,HK
2025-02-20,38.6,39.3,40.0,38.15,12408854,488976592.0,信达生物,01801,HK
2025-02-21,40.0,41.7,41.75,40.0,22199079,909793200.0,信达生物,01801,HK
2025-02-24,41.85,40.45,41.9,39.7,20905431,847120848.0,信达生物,01801,HK
2025-02-25,39.6,40.35,41.1,38.6,11740162,472147792.0,信达生物,01801,HK
2025-02-26,40.15,43.05,43.45,39.85,21011556,890088048.0,信达生物,01801,HK
2025-02-27,42.95,43.2,44.5,42.05,19569134,845523152.0,信达生物,01801,HK
2025-02-28,43.05,40.45,43.75,40.1,22102385,906132128.0,信达生物,01801,HK
2025-03-03,40.95,40.65,41.3,39.85,11954071,484468400.0,信达生物,01801,HK
2025-03-04,39.8,40.4,40.7,39.0,9972710,399197856.0,信达生物,01801,HK
2025-03-05,41.0,40.15,41.3,38.95,12526479,498068480.0,信达生物,01801,HK
2025-03-06,40.7,40.35,42.4,39.5,20676392,843616720.0,信达生物,01801,HK
2025-03-07,40.4,40.2,40.75,39.05,11857173,473147104.0,信达生物,01801,HK
2025-03-10,40.35,39.0,40.55,38.55,12313364,482341008.0,信达生物,01801,HK
2025-03-11,38.45,39.8,40.4,38.25,11531614,456439216.0,信达生物,01801,HK
2025-03-12,40.05,38.9,40.6,38.45,9470828,371396800.0,信达生物,01801,HK
2025-03-13,39.0,39.3,40.0,38.55,8158367,319925920.0,信达生物,01801,HK
2025-03-14,39.45,40.95,41.4,39.0,14303310,582775952.0,信达生物,01801,HK
2025-03-17,41.5,40.05,41.9,39.85,9673348,392502528.0,信达生物,01801,HK
2025-03-18,40.35,40.8,41.6,40.15,12679817,519625136.0,信达生物,01801,HK
2025-03-19,40.95,41.7,42.6,40.0,21588700,888144048.0,信达生物,01801,HK
2025-03-20,42.1,43.2,43.5,41.05,19188053,818072896.0,信达生物,01801,HK
2025-03-21,43.0,40.6,43.4,40.4,15272525,630189456.0,信达生物,01801,HK
2025-03-24,40.8,40.35,41.25,39.35,11127696,446442048.0,信达生物,01801,HK
2025-03-25,40.05,39.15,40.7,38.85,7953742,313838720.0,信达生物,01801,HK
2025-03-26,38.85,39.05,39.4,38.05,8814364,341938752.0,信达生物,01801,HK
2025-03-27,40.6,45.85,46.5,39.8,57294838,2519058000.0,信达生物,01801,HK
2025-03-28,45.85,46.2,48.4,45.6,30690543,1432247648.0,信达生物,01801,HK
