Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2024-11-14,4.96,4.95,5.1,4.93,64602990,338535712.0,石药集团,01093,HK
2024-11-15,4.96,4.89,5.04,4.88,45026401,232376460.0,石药集团,01093,HK
2024-11-18,4.83,4.88,4.98,4.83,36382490,187088584.0,石药集团,01093,HK
2024-11-19,4.96,4.94,5.0,4.87,44144064,227918405.0,石药集团,01093,HK
2024-11-20,4.89,4.97,5.02,4.88,57405372,298645104.0,石药集团,01093,HK
2024-11-21,4.94,4.95,5.04,4.92,35340724,184279051.0,石药集团,01093,HK
2024-11-22,4.96,4.85,5.04,4.82,48426789,249438732.0,石药集团,01093,HK
2024-11-25,4.94,4.84,4.94,4.81,59740532,304128416.0,石药集团,01093,HK
2024-11-26,4.83,4.81,4.94,4.81,38982922,198362130.0,石药集团,01093,HK
2024-11-27,4.84,4.94,4.97,4.78,52487848,268384720.0,石药集团,01093,HK
2024-11-28,4.94,4.81,4.94,4.81,47510088,241669983.0,石药集团,01093,HK
2024-11-29,4.86,4.83,4.89,4.8,78520412,399618672.0,石药集团,01093,HK
2024-12-02,4.85,4.84,4.88,4.81,36603380,186095046.0,石药集团,01093,HK
2024-12-03,4.82,4.83,4.87,4.78,69402314,351243440.0,石药集团,01093,HK
2024-12-04,4.83,4.75,4.84,4.74,75912669,381006944.0,石药集团,01093,HK
2024-12-05,4.75,4.68,4.75,4.66,59430243,292740064.0,石药集团,01093,HK
2024-12-06,4.58,4.76,4.82,4.57,101413229,503814496.0,石药集团,01093,HK
2024-12-09,4.8,4.91,4.91,4.68,117280823,588719184.0,石药集团,01093,HK
2024-12-10,5.05,4.82,5.09,4.82,85967485,444720720.0,石药集团,01093,HK
2024-12-11,4.89,4.78,4.91,4.74,60349911,305365984.0,石药集团,01093,HK
2024-12-12,4.75,4.77,4.83,4.72,59778344,300485920.0,石药集团,01093,HK
2024-12-13,4.75,4.56,4.89,4.54,169231608,819524080.0,石药集团,01093,HK
2024-12-16,4.55,4.39,4.56,4.37,167672987,782302064.0,石药集团,01093,HK
2024-12-17,4.36,4.39,4.46,4.35,102324108,475799232.0,石药集团,01093,HK
2024-12-18,4.39,4.51,4.52,4.39,61298374,289418144.0,石药集团,01093,HK
2024-12-19,4.45,4.54,4.56,4.44,53306030,253927413.0,石药集团,01093,HK
2024-12-20,4.52,4.57,4.61,4.51,95376143,458364768.0,石药集团,01093,HK
2024-12-23,4.57,4.56,4.64,4.5,44075878,211142953.0,石药集团,01093,HK
2024-12-24,4.56,4.56,4.6,4.5,30547040,147078719.0,石药集团,01093,HK
2024-12-27,4.56,4.54,4.58,4.49,44281504,211318763.0,石药集团,01093,HK
2024-12-30,4.54,4.51,4.6,4.5,44947603,214513002.0,石药集团,01093,HK
2024-12-31,4.5,4.54,4.55,4.49,16751714,79652371.0,石药集团,01093,HK
2025-01-02,4.48,4.39,4.49,4.37,52382001,244034675.0,石药集团,01093,HK
2025-01-03,4.41,4.35,4.49,4.32,69632195,321887904.0,石药集团,01093,HK
2025-01-06,4.46,4.32,4.5,4.3,77840000,357379200.0,石药集团,01093,HK
2025-01-07,4.27,4.27,4.32,4.21,76665183,344686032.0,石药集团,01093,HK
2025-01-08,4.28,4.18,4.28,4.14,80350187,355231056.0,石药集团,01093,HK
2025-01-09,4.17,4.22,4.24,4.17,61128363,272116048.0,石药集团,01093,HK
2025-01-10,4.23,4.13,4.25,4.12,55697952,244945742.0,石药集团,01093,HK
2025-01-13,4.11,4.11,4.13,4.03,62276150,269345760.0,石药集团,01093,HK
2025-01-14,4.11,4.13,4.18,4.11,60450714,265006700.0,石药集团,01093,HK
2025-01-15,4.12,4.1,4.16,4.09,46784303,203837336.0,石药集团,01093,HK
2025-01-16,4.15,4.16,4.23,4.1,37944555,167241161.0,石药集团,01093,HK
2025-01-17,4.16,4.16,4.17,4.09,51223740,224353065.0,石药集团,01093,HK
2025-01-20,4.22,4.17,4.3,4.16,58172432,260099482.0,石药集团,01093,HK
2025-01-21,4.23,4.21,4.26,4.17,36960417,164304302.0,石药集团,01093,HK
2025-01-22,4.21,4.14,4.22,4.12,38862457,170460161.0,石药集团,01093,HK
2025-01-23,4.21,4.13,4.22,4.11,42935781,188692114.0,石药集团,01093,HK
2025-01-24,4.16,4.18,4.24,4.12,38664956,170956376.0,石药集团,01093,HK
2025-01-27,4.2,4.25,4.29,4.2,34674745,156025443.0,石药集团,01093,HK
2025-01-28,4.27,4.22,4.31,4.15,14479102,64378996.0,石药集团,01093,HK
2025-02-03,4.17,4.24,4.26,4.09,30568800,135161775.0,石药集团,01093,HK
2025-02-04,4.26,4.26,4.41,4.24,53260613,242039543.0,石药集团,01093,HK
2025-02-05,4.27,4.22,4.29,4.2,45794659,205144460.0,石药集团,01093,HK
2025-02-06,4.22,4.33,4.33,4.2,43348582,196304681.0,石药集团,01093,HK
2025-02-07,4.28,4.31,4.38,4.26,55846691,254967442.0,石药集团,01093,HK
2025-02-10,4.34,4.39,4.45,4.32,67273198,311443888.0,石药集团,01093,HK
2025-02-11,4.42,4.28,4.42,4.28,44752864,204225305.0,石药集团,01093,HK
2025-02-12,4.33,4.29,4.33,4.23,60972447,275489248.0,石药集团,01093,HK
2025-02-13,4.29,4.3,4.45,4.26,110866474,510925072.0,石药集团,01093,HK
2025-02-14,4.33,4.56,4.58,4.33,119763056,567611536.0,石药集团,01093,HK
2025-02-17,4.61,4.51,4.71,4.47,105120527,506631424.0,石药集团,01093,HK
2025-02-18,4.54,4.59,4.65,4.47,86343869,415318528.0,石药集团,01093,HK
2025-02-19,4.58,4.64,4.68,4.53,68929499,336020368.0,石药集团,01093,HK
2025-02-20,4.67,4.67,4.81,4.62,128172482,635610064.0,石药集团,01093,HK
2025-02-21,4.77,4.77,4.78,4.67,118001800,587714480.0,石药集团,01093,HK
2025-02-24,4.77,4.82,5.02,4.69,173555080,888869280.0,石药集团,01093,HK
2025-02-25,4.75,4.79,4.87,4.74,87464754,440667952.0,石药集团,01093,HK
2025-02-26,4.69,4.58,4.69,4.5,227478643,1095206496.0,石药集团,01093,HK
2025-02-27,4.57,4.75,4.79,4.53,161106662,792614016.0,石药集团,01093,HK
2025-02-28,4.76,4.47,4.76,4.43,159783507,760063504.0,石药集团,01093,HK
2025-03-03,4.48,4.39,4.56,4.36,94860938,444113760.0,石药集团,01093,HK
2025-03-04,4.34,4.45,4.48,4.31,64120618,298474928.0,石药集团,01093,HK
2025-03-05,4.46,4.53,4.55,4.43,62529224,296609984.0,石药集团,01093,HK
2025-03-06,4.58,4.62,4.63,4.55,67698651,327337888.0,石药集团,01093,HK
2025-03-07,4.61,4.61,4.76,4.57,95913593,469080256.0,石药集团,01093,HK
2025-03-10,4.63,4.55,4.66,4.52,60610211,291335152.0,石药集团,01093,HK
2025-03-11,4.5,4.58,4.63,4.48,71206220,342085104.0,石药集团,01093,HK
2025-03-12,4.57,4.52,4.62,4.48,54001470,258259708.0,石药集团,01093,HK
2025-03-13,4.53,4.49,4.59,4.43,66852817,316386944.0,石药集团,01093,HK
2025-03-14,4.55,4.59,4.62,4.51,85438721,412233376.0,石药集团,01093,HK
2025-03-17,4.6,4.58,4.68,4.55,61603966,298067168.0,石药集团,01093,HK
2025-03-18,4.61,4.75,4.8,4.61,128189574,637244416.0,石药集团,01093,HK
2025-03-19,4.75,4.81,4.86,4.72,90077983,454540544.0,石药集团,01093,HK
2025-03-20,4.82,4.94,4.98,4.75,214336070,1105406256.0,石药集团,01093,HK
2025-03-21,4.91,4.61,4.91,4.56,200542966,984528928.0,石药集团,01093,HK
2025-03-24,4.57,4.52,4.6,4.47,86174683,411030240.0,石药集团,01093,HK
2025-03-25,4.51,4.46,4.54,4.44,68305450,322461568.0,石药集团,01093,HK
2025-03-26,4.49,4.45,4.51,4.42,54048104,253410531.0,石药集团,01093,HK
2025-03-27,4.43,4.68,4.72,4.35,157319399,761161776.0,石药集团,01093,HK
2025-03-28,4.72,4.82,4.96,4.68,214031906,1087797552.0,石药集团,01093,HK
2025-03-31,4.78,4.7,4.9,4.62,120119525,597295920.0,石药集团,01093,HK
2025-04-01,4.75,5.24,5.37,4.71,448048736,2444980976.0,石药集团,01093,HK
2025-04-02,5.24,5.29,5.43,5.14,193964477,1072643760.0,石药集团,01093,HK
2025-04-03,5.16,5.29,5.42,5.15,185264902,1022071392.0,石药集团,01093,HK
2025-04-07,4.76,4.5,4.8,4.41,349924624,1677041664.0,石药集团,01093,HK
2025-04-08,4.52,4.65,4.73,4.49,193375214,937106336.0,石药集团,01093,HK
2025-04-09,4.52,4.74,4.82,4.39,202313424,979599312.0,石药集团,01093,HK
2025-04-10,4.88,4.91,5.13,4.82,225528429,1176308768.0,石药集团,01093,HK
2025-04-11,4.95,5.03,5.08,4.84,105620085,550770032.0,石药集团,01093,HK
2025-04-14,5.11,5.53,5.58,5.08,258626830,1456276288.0,石药集团,01093,HK
2025-04-15,5.57,5.36,5.6,5.33,109681094,621428592.0,石药集团,01093,HK
2025-04-16,5.36,5.19,5.36,5.11,109623380,596800080.0,石药集团,01093,HK
2025-04-17,5.25,5.32,5.46,5.2,96320973,536938816.0,石药集团,01093,HK
2025-04-22,5.33,5.81,5.91,5.33,219558980,1312331792.0,石药集团,01093,HK
2025-04-23,5.82,5.91,6.07,5.82,183217267,1133574752.0,石药集团,01093,HK
2025-04-24,5.82,5.9,5.95,5.72,225535858,1368934288.0,石药集团,01093,HK
2025-04-25,5.93,5.87,6.01,5.77,105530616,645591536.0,石药集团,01093,HK
2025-04-28,5.87,5.8,5.99,5.62,196793388,1193842096.0,石药集团,01093,HK
2025-04-29,5.84,5.85,6.09,5.8,216057521,1332243440.0,石药集团,01093,HK
2025-04-30,5.9,5.89,6.08,5.84,192071479,1182974192.0,石药集团,01093,HK
2025-05-02,5.91,5.97,6.02,5.82,40268306,249127065.0,石药集团,01093,HK
2025-05-06,6.08,5.6,6.11,5.53,307178256,1813999856.0,石药集团,01093,HK
2025-05-07,5.67,5.49,5.74,5.46,167624349,969870688.0,石药集团,01093,HK
2025-05-08,5.51,5.51,5.7,5.45,99378064,573314656.0,石药集团,01093,HK
2025-05-09,5.5,5.5,5.61,5.39,86635027,496073440.0,石药集团,01093,HK
2025-05-12,5.36,5.26,5.42,5.1,203045728,1113928176.0,石药集团,01093,HK
2025-05-13,5.37,5.29,5.51,5.29,87720820,490813936.0,石药集团,01093,HK
2025-05-14,5.36,5.52,5.56,5.3,125523256,713583600.0,石药集团,01093,HK
2025-05-15,5.52,5.47,5.57,5.43,41831290,240118873.0,石药集团,01093,HK
2025-05-16,5.55,5.65,5.92,5.45,137833274,819188240.0,石药集团,01093,HK
2025-05-19,5.66,5.7,5.77,5.59,90681718,536420448.0,石药集团,01093,HK
2025-05-20,5.93,6.06,6.27,5.92,332433856,2108838656.0,石药集团,01093,HK
