Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2024-11-14,8.75,8.91,9.45,8.72,717800,6477316.0,博安生物,06955,HK
2024-11-15,8.91,8.72,8.99,8.45,402200,3500644.0,博安生物,06955,HK
2024-11-18,8.72,8.7,8.74,8.62,131400,1139526.0,博安生物,06955,HK
2024-11-19,8.68,8.68,8.72,8.42,197200,1685778.0,博安生物,06955,HK
2024-11-20,8.66,8.6,8.66,8.49,164200,1412890.0,博安生物,06955,HK
2024-11-21,8.62,8.59,8.65,8.38,147200,1256044.0,博安生物,06955,HK
2024-11-22,8.44,8.08,8.54,7.51,373400,3044308.0,博安生物,06955,HK
2024-11-25,8.01,7.62,8.17,7.62,288200,2249764.0,博安生物,06955,HK
2024-11-26,7.57,7.9,9.5,7.51,2650200,22790054.0,博安生物,06955,HK
2024-11-27,8.0,7.9,8.0,7.6,377400,2927992.0,博安生物,06955,HK
2024-11-28,7.87,7.76,8.04,7.68,303400,2372010.0,博安生物,06955,HK
2024-11-29,7.76,7.78,8.29,7.76,204400,1619042.0,博安生物,06955,HK
2024-12-02,7.76,8.57,8.58,7.76,371800,3040728.0,博安生物,06955,HK
2024-12-03,8.85,9.0,9.0,8.08,505600,4383234.0,博安生物,06955,HK
2024-12-04,9.0,9.08,9.13,8.83,276000,2492388.0,博安生物,06955,HK
2024-12-05,8.98,9.33,9.33,8.62,643600,5876932.0,博安生物,06955,HK
2024-12-06,9.34,9.42,9.42,8.9,349400,3249582.0,博安生物,06955,HK
2024-12-09,9.12,9.32,9.5,8.86,5682400,50925418.0,博安生物,06955,HK
2024-12-10,9.23,9.05,9.47,8.9,684400,6198170.0,博安生物,06955,HK
2024-12-11,9.01,9.06,9.11,8.65,519800,4584416.0,博安生物,06955,HK
2024-12-12,9.05,9.01,9.05,8.71,216600,1921866.0,博安生物,06955,HK
2024-12-13,8.96,8.82,9.22,8.82,322800,2911486.0,博安生物,06955,HK
2024-12-16,8.81,8.88,9.06,8.81,266800,2387268.0,博安生物,06955,HK
2024-12-17,9.02,8.87,9.06,8.85,257800,2304764.0,博安生物,06955,HK
2024-12-18,8.99,8.88,9.03,8.84,67800,605248.0,博安生物,06955,HK
