Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2024-11-14,5.27,5.08,5.3,5.08,1285000,6654325.0,欧康维视生物-B,01477,HK
2024-11-15,5.07,5.1,5.19,5.02,1316692,6696580.0,欧康维视生物-B,01477,HK
2024-11-18,5.09,5.26,5.28,4.9,1707000,8726205.0,欧康维视生物-B,01477,HK
2024-11-19,5.21,5.19,5.25,5.04,1071500,5522052.0,欧康维视生物-B,01477,HK
2024-11-20,5.32,5.4,5.42,5.27,843500,4516996.0,欧康维视生物-B,01477,HK
2024-11-21,5.45,5.66,5.85,5.45,1748000,9924670.0,欧康维视生物-B,01477,HK
2024-11-22,5.75,5.19,5.75,5.14,2009500,10746871.0,欧康维视生物-B,01477,HK
2024-11-25,5.18,5.56,5.63,5.18,1473317,8079464.0,欧康维视生物-B,01477,HK
2024-11-26,5.42,5.2,5.54,5.18,1636500,8655136.0,欧康维视生物-B,01477,HK
2024-11-27,5.35,5.27,5.35,5.12,824000,4309134.0,欧康维视生物-B,01477,HK
2024-11-28,5.44,5.15,5.44,5.12,602000,3144230.0,欧康维视生物-B,01477,HK
2024-11-29,5.29,5.18,5.29,5.14,571000,2964083.0,欧康维视生物-B,01477,HK
2024-12-02,5.27,5.15,5.31,5.14,646215,3360886.0,欧康维视生物-B,01477,HK
2024-12-03,5.23,5.34,5.37,5.13,1244500,6600715.0,欧康维视生物-B,01477,HK
2024-12-04,5.19,5.3,5.37,5.19,1045500,5489410.0,欧康维视生物-B,01477,HK
2024-12-05,5.38,5.1,5.38,5.05,1267000,6473825.0,欧康维视生物-B,01477,HK
2024-12-06,5.12,5.0,5.14,4.96,1762000,8843271.0,欧康维视生物-B,01477,HK
2024-12-09,5.1,5.19,5.2,4.98,989000,5040380.0,欧康维视生物-B,01477,HK
2024-12-10,5.25,5.01,5.47,5.0,1267803,6540564.0,欧康维视生物-B,01477,HK
2024-12-11,5.03,4.97,5.03,4.87,1766993,8738207.0,欧康维视生物-B,01477,HK
2024-12-12,4.96,4.97,5.0,4.84,882186,4334581.0,欧康维视生物-B,01477,HK
2024-12-13,5.04,4.83,5.04,4.78,1082500,5229617.0,欧康维视生物-B,01477,HK
2024-12-16,4.79,4.71,4.93,4.65,1174500,5542735.0,欧康维视生物-B,01477,HK
2024-12-17,4.82,4.68,4.82,4.61,1002000,4656630.0,欧康维视生物-B,01477,HK
2024-12-18,4.7,4.64,4.79,4.59,857000,3977335.0,欧康维视生物-B,01477,HK
2024-12-19,4.59,4.59,4.6,4.43,1503500,6776932.0,欧康维视生物-B,01477,HK
2024-12-20,4.63,4.47,4.63,4.45,6073000,27193262.0,欧康维视生物-B,01477,HK
2024-12-23,4.58,4.39,4.58,4.33,982606,4302337.0,欧康维视生物-B,01477,HK
2024-12-24,4.4,4.41,4.45,4.35,625000,2750015.0,欧康维视生物-B,01477,HK
2024-12-27,4.38,4.44,4.46,4.33,1229435,5392160.0,欧康维视生物-B,01477,HK
2024-12-30,4.44,4.47,4.67,4.38,2524000,11390745.0,欧康维视生物-B,01477,HK
2024-12-31,4.58,4.5,4.58,4.37,2024800,9014195.0,欧康维视生物-B,01477,HK
2025-01-02,4.61,4.56,4.75,4.42,4115836,18724096.0,欧康维视生物-B,01477,HK
2025-01-03,4.66,4.33,4.66,4.26,2572000,11349821.0,欧康维视生物-B,01477,HK
2025-01-06,4.33,4.17,4.35,4.09,1862396,7763839.0,欧康维视生物-B,01477,HK
2025-01-07,4.23,4.05,4.18,3.96,3640000,14600210.0,欧康维视生物-B,01477,HK
2025-01-08,4.0,3.98,4.03,3.92,2149000,8535175.0,欧康维视生物-B,01477,HK
2025-01-09,4.0,3.97,4.11,3.92,1114500,4437955.0,欧康维视生物-B,01477,HK
2025-01-10,3.92,3.84,3.98,3.8,2601500,10092280.0,欧康维视生物-B,01477,HK
2025-01-13,3.84,3.77,3.84,3.72,1160000,4358870.0,欧康维视生物-B,01477,HK
2025-01-14,3.81,3.81,3.84,3.74,2018500,7632105.0,欧康维视生物-B,01477,HK
2025-01-15,3.8,3.72,3.8,3.68,1002500,3734523.0,欧康维视生物-B,01477,HK
2025-01-16,3.7,3.79,3.82,3.69,2794000,10500745.0,欧康维视生物-B,01477,HK
2025-01-17,3.71,3.82,3.82,3.62,2096072,7773223.0,欧康维视生物-B,01477,HK
2025-01-20,3.86,3.91,4.11,3.86,2470000,9952495.0,欧康维视生物-B,01477,HK
