Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2025-05-23,57.0,55.15,60.5,55.15,82663811,4733500928.0,恒瑞医药,01276,HK
2025-05-26,54.25,53.7,55.15,52.5,12877980,690009472.0,恒瑞医药,01276,HK
2025-05-27,53.2,54.9,55.8,53.0,5303918,290628224.0,恒瑞医药,01276,HK
2025-05-28,54.9,57.5,57.5,54.6,8740409,492278592.0,恒瑞医药,01276,HK
2025-05-29,57.5,57.5,57.5,55.6,5643467,320669040.0,恒瑞医药,01276,HK
2025-05-30,57.05,58.0,58.4,56.8,4514928,260723649.0,恒瑞医药,01276,HK
2025-06-02,57.3,57.7,57.8,56.1,1204104,68745700.0,恒瑞医药,01276,HK
2025-06-03,57.8,56.5,58.05,56.25,2638200,151135843.0,恒瑞医药,01276,HK
2025-06-04,56.95,57.9,58.35,56.9,5205950,301944128.0,恒瑞医药,01276,HK
2025-06-05,58.0,56.95,58.2,56.55,2156370,123146131.0,恒瑞医药,01276,HK
2025-06-06,57.5,57.55,58.35,56.5,4161995,239290005.0,恒瑞医药,01276,HK
2025-06-09,57.55,59.05,59.2,56.95,4809633,281321616.0,恒瑞医药,01276,HK
2025-06-10,58.7,59.45,59.9,58.5,2670120,157974706.0,恒瑞医药,01276,HK
2025-06-11,59.5,58.3,59.8,58.3,2081195,122453987.0,恒瑞医药,01276,HK
2025-06-12,58.55,59.3,59.6,57.75,2823836,165657148.0,恒瑞医药,01276,HK
2025-06-13,59.3,57.8,59.7,57.8,2013290,118035689.0,恒瑞医药,01276,HK
2025-06-16,57.5,59.5,59.75,57.4,3101158,183140248.0,恒瑞医药,01276,HK
2025-06-17,59.4,56.8,59.75,56.5,2221574,127906267.0,恒瑞医药,01276,HK
2025-06-18,56.9,57.45,57.7,56.5,1293632,73814372.0,恒瑞医药,01276,HK
2025-06-19,57.45,56.9,57.7,56.3,1264400,71884566.0,恒瑞医药,01276,HK
2025-06-20,57.9,56.3,58.5,56.3,1269329,72551895.0,恒瑞医药,01276,HK
2025-06-23,56.3,55.85,56.5,55.0,1658226,92798878.0,恒瑞医药,01276,HK
2025-06-24,55.85,57.7,57.8,55.85,1733655,99158325.0,恒瑞医药,01276,HK
2025-06-25,57.7,58.5,58.5,57.1,1698099,98119928.0,恒瑞医药,01276,HK
2025-06-26,58.45,55.6,58.45,55.6,2814519,158185128.0,恒瑞医药,01276,HK
2025-06-27,56.15,55.35,56.25,55.1,1423082,79129053.0,恒瑞医药,01276,HK
2025-06-30,55.3,53.8,55.3,53.55,2632188,142211847.0,恒瑞医药,01276,HK
2025-07-02,55.1,55.4,56.45,54.55,2433876,134912732.0,恒瑞医药,01276,HK
2025-07-03,55.8,57.0,57.3,55.4,1599600,90001024.0,恒瑞医药,01276,HK
2025-07-04,57.0,59.2,59.3,57.0,3033894,177660502.0,恒瑞医药,01276,HK
2025-07-07,59.15,59.4,59.5,58.2,898000,53028055.0,恒瑞医药,01276,HK
2025-07-08,59.4,60.2,61.9,59.0,5137512,314256496.0,恒瑞医药,01276,HK
2025-07-09,61.2,69.6,71.15,60.25,10678012,718744304.0,恒瑞医药,01276,HK
2025-07-10,69.4,74.55,75.25,68.8,9432566,684884928.0,恒瑞医药,01276,HK
2025-07-11,72.5,72.2,78.75,71.5,7827794,580692064.0,恒瑞医药,01276,HK
2025-07-14,72.0,74.65,78.8,72.0,5780298,437016832.0,恒瑞医药,01276,HK
2025-07-15,75.0,71.95,75.95,71.55,4735602,343005648.0,恒瑞医药,01276,HK
2025-07-16,73.4,70.25,74.9,70.1,4050850,291672016.0,恒瑞医药,01276,HK
2025-07-17,70.25,71.7,72.45,70.1,4227878,303191680.0,恒瑞医药,01276,HK
2025-07-18,72.5,73.0,76.7,72.0,5656223,418899728.0,恒瑞医药,01276,HK
2025-07-21,72.4,72.4,73.2,71.0,2756810,198452454.0,恒瑞医药,01276,HK
