Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2024-11-14,3.23,3.2,3.28,3.16,2483000,8031860.0,乐普生物-B,02157,HK
2024-11-15,3.27,3.19,3.27,3.12,2230000,7085780.0,乐普生物-B,02157,HK
2024-11-18,3.22,3.01,3.22,2.98,2709000,8287930.0,乐普生物-B,02157,HK
2024-11-19,3.12,3.07,3.12,3.0,1953000,5926310.0,乐普生物-B,02157,HK
2024-11-20,3.1,3.2,3.28,3.05,3947000,12536290.0,乐普生物-B,02157,HK
2024-11-21,3.36,3.05,3.36,3.02,2642000,8161930.0,乐普生物-B,02157,HK
2024-11-22,3.13,2.81,3.13,2.78,4475000,12997780.0,乐普生物-B,02157,HK
2024-11-25,2.89,2.83,2.9,2.78,1734000,4928560.0,乐普生物-B,02157,HK
2024-11-26,2.88,2.87,3.06,2.83,2623000,7707120.0,乐普生物-B,02157,HK
2024-11-27,2.88,3.01,3.05,2.86,4446000,13185970.0,乐普生物-B,02157,HK
2024-11-28,3.01,2.89,3.04,2.85,2209000,6462950.0,乐普生物-B,02157,HK
2024-11-29,2.95,2.93,3.01,2.88,2961000,8673320.0,乐普生物-B,02157,HK
2024-12-02,2.93,2.88,2.97,2.86,4055000,11767830.0,乐普生物-B,02157,HK
2024-12-03,2.9,2.85,2.93,2.8,3535000,10121800.0,乐普生物-B,02157,HK
2024-12-04,2.85,2.72,2.85,2.7,2456000,6787540.0,乐普生物-B,02157,HK
2024-12-05,2.73,2.66,2.77,2.64,2935000,7873290.0,乐普生物-B,02157,HK
2024-12-06,2.66,2.66,2.73,2.65,4262000,11449640.0,乐普生物-B,02157,HK
2024-12-09,2.69,2.63,2.85,2.49,9593000,25283500.0,乐普生物-B,02157,HK
2024-12-10,2.74,2.57,2.71,2.56,3131000,8261580.0,乐普生物-B,02157,HK
2024-12-11,2.57,2.68,2.71,2.55,3713000,9718820.0,乐普生物-B,02157,HK
2024-12-12,2.7,2.76,2.85,2.67,7961000,22065730.0,乐普生物-B,02157,HK
2024-12-13,2.76,2.57,2.76,2.52,6307000,16507350.0,乐普生物-B,02157,HK
2024-12-16,2.57,2.65,2.74,2.49,6762000,17596210.0,乐普生物-B,02157,HK
2024-12-17,2.73,3.08,3.15,2.68,43845000,129379709.0,乐普生物-B,02157,HK
2024-12-18,3.08,3.28,3.44,2.93,25674000,81358230.0,乐普生物-B,02157,HK
2024-12-19,3.28,3.14,3.46,3.13,20799000,68991970.0,乐普生物-B,02157,HK
2024-12-20,3.25,2.98,3.25,2.9,14769000,44367790.0,乐普生物-B,02157,HK
2024-12-23,3.03,2.65,3.03,2.59,22587000,61321550.0,乐普生物-B,02157,HK
2024-12-24,2.68,2.65,2.71,2.58,7534000,19831800.0,乐普生物-B,02157,HK
2024-12-27,2.68,2.63,2.73,2.58,5633000,14859590.0,乐普生物-B,02157,HK
2024-12-30,2.63,2.59,2.71,2.57,3952000,10311290.0,乐普生物-B,02157,HK
2024-12-31,2.6,2.62,2.63,2.55,2698000,6988970.0,乐普生物-B,02157,HK
2025-01-02,2.67,2.52,2.69,2.51,3232000,8258020.0,乐普生物-B,02157,HK
2025-01-03,2.53,2.51,2.58,2.41,5176000,12826430.0,乐普生物-B,02157,HK
2025-01-06,2.55,2.56,2.6,2.5,2695000,6852570.0,乐普生物-B,02157,HK
2025-01-07,2.55,2.56,2.6,2.5,2510000,6415640.0,乐普生物-B,02157,HK
2025-01-08,2.59,2.43,2.59,2.41,3375000,8364150.0,乐普生物-B,02157,HK
2025-01-09,2.47,2.39,2.48,2.35,4018000,9635080.0,乐普生物-B,02157,HK
2025-01-10,2.39,2.36,2.4,2.31,2824000,6678730.0,乐普生物-B,02157,HK
2025-01-13,2.31,2.27,2.34,2.26,3072000,7052830.0,乐普生物-B,02157,HK
2025-01-14,2.29,2.38,2.39,2.29,3391665,7960942.0,乐普生物-B,02157,HK
2025-01-15,2.43,2.27,2.46,2.26,5390000,12442340.0,乐普生物-B,02157,HK
2025-01-16,2.3,2.28,2.33,2.26,2780000,6373500.0,乐普生物-B,02157,HK
2025-01-17,2.29,2.34,2.45,2.28,12159000,28733040.0,乐普生物-B,02157,HK
2025-01-20,2.44,2.37,2.48,2.35,5211000,12518280.0,乐普生物-B,02157,HK
2025-01-21,2.44,2.39,2.44,2.34,2642000,6290680.0,乐普生物-B,02157,HK
2025-01-22,2.71,2.4,2.73,2.4,38835000,98751220.0,乐普生物-B,02157,HK
2025-01-23,2.48,2.51,2.68,2.47,29720000,76556330.0,乐普生物-B,02157,HK
2025-01-24,2.53,2.78,2.94,2.47,26921000,73073800.0,乐普生物-B,02157,HK
2025-01-27,2.82,2.87,3.04,2.75,11087000,32031010.0,乐普生物-B,02157,HK
2025-01-28,2.83,2.73,2.83,2.72,326000,894320.0,乐普生物-B,02157,HK
2025-02-03,2.73,2.89,2.92,2.73,733000,2083760.0,乐普生物-B,02157,HK
2025-02-04,2.82,2.75,2.89,2.73,1266000,3504120.0,乐普生物-B,02157,HK
2025-02-05,2.77,2.67,2.9,2.65,10501208,28569958.0,乐普生物-B,02157,HK
2025-02-06,2.74,2.76,2.76,2.64,6089000,16505710.0,乐普生物-B,02157,HK
2025-02-07,2.76,2.95,2.99,2.7,10150000,29207990.0,乐普生物-B,02157,HK
2025-02-10,2.96,2.98,3.04,2.88,11172000,33178830.0,乐普生物-B,02157,HK
2025-02-11,2.97,2.84,3.03,2.82,4677000,13504250.0,乐普生物-B,02157,HK
2025-02-12,2.89,2.82,2.9,2.76,4572000,12859570.0,乐普生物-B,02157,HK
2025-02-13,2.9,2.77,2.92,2.76,5529000,15722663.0,乐普生物-B,02157,HK
2025-02-14,2.82,3.11,3.2,2.78,15447000,46290980.0,乐普生物-B,02157,HK
2025-02-17,3.13,3.22,3.25,3.06,12471000,39480620.0,乐普生物-B,02157,HK
2025-02-18,3.25,3.26,3.44,3.14,14157000,45907035.0,乐普生物-B,02157,HK
2025-02-19,3.28,3.33,3.37,3.1,14306000,46088795.0,乐普生物-B,02157,HK
2025-02-20,3.34,3.27,3.42,3.23,5659000,18648170.0,乐普生物-B,02157,HK
2025-02-21,3.34,3.42,3.44,3.31,7658000,25782950.0,乐普生物-B,02157,HK
2025-02-24,3.5,3.33,3.5,3.26,6660000,22117700.0,乐普生物-B,02157,HK
2025-02-25,3.21,3.28,3.4,3.17,6310424,20690606.0,乐普生物-B,02157,HK
2025-02-26,3.37,3.65,3.7,3.27,13959902,49274168.0,乐普生物-B,02157,HK
2025-02-27,3.67,3.99,4.04,3.64,22622000,86529640.0,乐普生物-B,02157,HK
2025-02-28,3.99,3.65,3.99,3.4,24113000,87592840.0,乐普生物-B,02157,HK
2025-03-03,3.64,3.53,3.67,3.47,8060000,28704150.0,乐普生物-B,02157,HK
2025-03-04,3.01,3.3,3.39,2.9,24648000,76961050.0,乐普生物-B,02157,HK
2025-03-05,3.39,3.34,3.4,3.22,8944000,29455307.0,乐普生物-B,02157,HK
2025-03-06,3.42,3.37,3.5,3.35,6923000,23545870.0,乐普生物-B,02157,HK
2025-03-07,3.37,3.43,3.59,3.26,10091000,34534300.0,乐普生物-B,02157,HK
2025-03-10,3.6,3.27,3.6,3.26,5447000,18270733.0,乐普生物-B,02157,HK
2025-03-11,3.27,3.31,3.35,3.2,4615000,15074380.0,乐普生物-B,02157,HK
2025-03-12,3.41,3.28,3.41,3.22,4431000,14752415.0,乐普生物-B,02157,HK
2025-03-13,3.31,3.25,3.41,3.22,4119000,13588460.0,乐普生物-B,02157,HK
2025-03-14,3.27,3.34,3.38,3.22,8978000,29693234.0,乐普生物-B,02157,HK
2025-03-17,3.38,3.2,3.38,3.18,7637000,24668170.0,乐普生物-B,02157,HK
2025-03-18,3.26,3.31,3.47,3.25,10767000,36253480.0,乐普生物-B,02157,HK
2025-03-19,3.31,3.5,3.52,3.31,8779000,30198690.0,乐普生物-B,02157,HK
