Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2024-11-14,41.35,40.4,41.6,40.4,671000,27431800.0,康诺亚-B,02162,HK
2024-11-15,41.55,39.35,41.6,38.3,961500,38049500.0,康诺亚-B,02162,HK
2024-11-18,39.9,37.6,39.9,37.1,1286000,48772350.0,康诺亚-B,02162,HK
2024-11-19,38.0,38.3,38.8,37.25,803000,30384575.0,康诺亚-B,02162,HK
2024-11-20,38.4,40.0,42.1,37.7,1541500,62418550.0,康诺亚-B,02162,HK
2024-11-21,40.05,39.5,41.7,39.5,707500,28746025.0,康诺亚-B,02162,HK
2024-11-22,39.55,38.2,39.55,37.65,774027,29591224.0,康诺亚-B,02162,HK
2024-11-25,38.15,39.9,39.95,37.8,801000,31539050.0,康诺亚-B,02162,HK
2024-11-26,40.0,39.55,41.55,39.5,2095000,84606453.0,康诺亚-B,02162,HK
2024-11-27,39.5,40.4,41.75,39.5,2751000,111645237.0,康诺亚-B,02162,HK
2024-11-28,40.55,39.1,40.9,38.25,1564000,62202713.0,康诺亚-B,02162,HK
2024-11-29,38.9,38.35,39.7,38.3,1201404,46726863.0,康诺亚-B,02162,HK
2024-12-02,38.15,41.4,42.0,38.15,2668920,109306997.0,康诺亚-B,02162,HK
2024-12-03,41.65,42.1,43.4,40.55,1728428,72916980.0,康诺亚-B,02162,HK
2024-12-04,42.45,42.0,42.6,41.2,637500,26732025.0,康诺亚-B,02162,HK
2024-12-05,41.0,40.65,42.0,39.4,2335826,94266857.0,康诺亚-B,02162,HK
2024-12-06,40.55,40.8,41.35,39.7,974000,39568525.0,康诺亚-B,02162,HK
2024-12-09,40.75,41.95,41.95,40.75,337048,13940331.0,康诺亚-B,02162,HK
2024-12-10,41.0,42.25,43.0,41.0,804500,34112575.0,康诺亚-B,02162,HK
2024-12-11,41.15,41.4,42.4,40.1,391470,16395065.0,康诺亚-B,02162,HK
2024-12-12,41.1,39.75,41.8,39.0,1244500,49903024.0,康诺亚-B,02162,HK
2024-12-13,39.7,37.9,40.0,37.7,1332184,51120438.0,康诺亚-B,02162,HK
2024-12-16,37.65,34.55,38.95,34.35,4020208,142600442.0,康诺亚-B,02162,HK
2024-12-17,34.6,33.7,34.6,31.7,5083968,167179889.0,康诺亚-B,02162,HK
2024-12-18,34.15,33.65,34.45,33.05,2778632,93677737.0,康诺亚-B,02162,HK
2024-12-19,33.4,32.9,33.65,32.15,2019000,66085337.0,康诺亚-B,02162,HK
2024-12-20,32.9,32.6,32.95,29.3,6081000,192036512.0,康诺亚-B,02162,HK
2024-12-23,32.55,31.85,33.75,31.0,2858000,90592337.0,康诺亚-B,02162,HK
2024-12-24,32.0,31.75,32.2,31.1,1522646,47962343.0,康诺亚-B,02162,HK
2024-12-27,31.75,29.65,31.8,29.0,5506000,164958375.0,康诺亚-B,02162,HK
2024-12-30,29.95,30.05,30.2,29.1,2388200,71543577.0,康诺亚-B,02162,HK
2024-12-31,30.1,30.9,31.2,29.5,1779000,54087025.0,康诺亚-B,02162,HK
2025-01-02,30.9,30.25,31.55,29.85,1048645,32069453.0,康诺亚-B,02162,HK
2025-01-03,30.5,29.05,30.5,28.8,1787500,52292400.0,康诺亚-B,02162,HK
2025-01-06,29.35,28.7,29.75,28.0,1423822,41089536.0,康诺亚-B,02162,HK
2025-01-07,28.7,29.0,29.25,27.7,1389000,39512125.0,康诺亚-B,02162,HK
2025-01-08,29.0,28.0,29.0,27.2,1367434,37979817.0,康诺亚-B,02162,HK
2025-01-09,27.9,28.8,28.9,27.9,918000,26215312.0,康诺亚-B,02162,HK
2025-01-10,29.3,27.85,29.45,27.45,1239998,34908320.0,康诺亚-B,02162,HK
2025-01-13,27.2,28.2,28.3,27.05,1094000,30536562.0,康诺亚-B,02162,HK
2025-01-14,27.25,28.75,29.0,27.25,1129690,32471483.0,康诺亚-B,02162,HK
2025-01-15,28.6,28.35,29.65,27.5,1014596,28740908.0,康诺亚-B,02162,HK
2025-01-16,28.9,28.2,29.5,27.2,1374500,38272661.0,康诺亚-B,02162,HK
2025-01-17,27.35,29.3,30.15,27.35,1448500,42508911.0,康诺亚-B,02162,HK
2025-01-20,29.0,29.9,31.3,29.0,1316000,39826165.0,康诺亚-B,02162,HK
2025-01-21,29.6,30.85,31.0,29.45,1316514,39847846.0,康诺亚-B,02162,HK
2025-01-22,31.75,30.4,31.75,29.6,2066000,63014426.0,康诺亚-B,02162,HK
2025-01-23,30.4,29.7,31.5,29.45,787000,23983200.0,康诺亚-B,02162,HK
2025-01-24,29.6,30.3,31.85,29.35,1909000,58771675.0,康诺亚-B,02162,HK
2025-01-27,30.4,30.25,31.05,30.0,513500,15575825.0,康诺亚-B,02162,HK
2025-01-28,29.85,29.5,30.6,29.5,10500,313125.0,康诺亚-B,02162,HK
2025-02-03,29.55,29.15,30.35,28.4,220000,6404466.0,康诺亚-B,02162,HK
2025-02-04,28.4,29.55,29.8,28.4,317500,9314176.0,康诺亚-B,02162,HK
2025-02-05,29.35,29.7,30.1,28.9,975500,28941444.0,康诺亚-B,02162,HK
2025-02-06,29.35,31.65,31.85,29.35,1852000,58052525.0,康诺亚-B,02162,HK
2025-02-07,31.1,31.6,32.25,31.0,1060500,33401112.0,康诺亚-B,02162,HK
2025-02-10,31.9,32.4,33.3,31.9,1631596,53434113.0,康诺亚-B,02162,HK
2025-02-11,32.45,32.8,33.0,31.1,2205000,71014625.0,康诺亚-B,02162,HK
2025-02-12,32.8,32.5,33.0,31.8,1887000,61068883.0,康诺亚-B,02162,HK
2025-02-13,32.35,33.0,33.7,32.35,1554617,51850176.0,康诺亚-B,02162,HK
2025-02-14,32.85,34.85,35.05,32.85,1882500,64263748.0,康诺亚-B,02162,HK
2025-02-17,34.9,34.95,35.4,33.7,3482964,119723227.0,康诺亚-B,02162,HK
2025-02-18,35.65,35.4,36.45,34.65,1991560,70253447.0,康诺亚-B,02162,HK
2025-02-19,35.4,35.2,35.45,34.6,1411500,49405425.0,康诺亚-B,02162,HK
2025-02-20,35.2,35.35,36.2,35.1,2056612,73486900.0,康诺亚-B,02162,HK
2025-02-21,35.1,37.55,37.7,35.1,1982328,73169079.0,康诺亚-B,02162,HK
2025-02-24,37.35,36.85,38.45,35.9,1983536,73013608.0,康诺亚-B,02162,HK
2025-02-25,36.0,35.35,36.3,34.55,2694200,95152143.0,康诺亚-B,02162,HK
2025-02-26,35.8,36.55,37.65,34.95,2849782,104541057.0,康诺亚-B,02162,HK
2025-02-27,36.1,37.25,37.85,35.65,2325822,85859099.0,康诺亚-B,02162,HK
2025-02-28,36.05,35.25,37.4,34.55,2116000,75332849.0,康诺亚-B,02162,HK
2025-03-03,35.25,35.55,36.4,34.8,1083000,38525066.0,康诺亚-B,02162,HK
2025-03-04,34.1,36.2,36.4,33.75,1726866,60484965.0,康诺亚-B,02162,HK
2025-03-05,36.75,36.6,36.9,35.35,854500,30917275.0,康诺亚-B,02162,HK
2025-03-06,36.8,36.7,37.9,36.15,1808000,66950950.0,康诺亚-B,02162,HK
2025-03-07,36.4,36.7,37.7,35.75,1524730,56356759.0,康诺亚-B,02162,HK
2025-03-10,36.25,34.5,37.55,34.15,2038598,71734856.0,康诺亚-B,02162,HK
2025-03-11,33.3,35.15,35.5,33.3,1122282,39072180.0,康诺亚-B,02162,HK
2025-03-12,35.8,34.4,35.8,33.75,1051578,36357659.0,康诺亚-B,02162,HK
2025-03-13,33.8,34.45,36.0,33.8,1747000,61143171.0,康诺亚-B,02162,HK
2025-03-14,34.55,35.3,35.5,34.3,1437176,50506140.0,康诺亚-B,02162,HK
2025-03-17,35.0,36.0,36.0,34.6,1288500,45619687.0,康诺亚-B,02162,HK
2025-03-18,36.0,37.7,38.9,36.0,2051414,77973373.0,康诺亚-B,02162,HK
2025-03-19,38.3,39.65,39.65,37.7,1815505,70706037.0,康诺亚-B,02162,HK
2025-03-20,39.1,39.2,40.6,38.9,2482000,99163587.0,康诺亚-B,02162,HK
2025-03-21,39.2,38.2,39.2,36.35,4037400,152179037.0,康诺亚-B,02162,HK
2025-03-24,38.45,38.0,40.0,37.45,2099000,81320325.0,康诺亚-B,02162,HK
2025-03-25,37.65,39.95,41.2,37.55,4316400,172843704.0,康诺亚-B,02162,HK
2025-03-26,39.15,40.65,41.2,39.15,2930000,119056175.0,康诺亚-B,02162,HK
2025-03-27,40.0,44.8,45.0,40.0,5057482,218805854.0,康诺亚-B,02162,HK
2025-03-28,44.8,45.0,46.65,44.05,3422376,154862569.0,康诺亚-B,02162,HK
2025-03-31,45.0,44.4,45.5,43.35,2349000,103992262.0,康诺亚-B,02162,HK
2025-04-01,44.65,46.65,47.5,44.4,3815100,177368695.0,康诺亚-B,02162,HK
2025-04-02,46.65,48.1,49.0,46.45,3114392,147873968.0,康诺亚-B,02162,HK
2025-04-03,48.1,48.0,49.6,45.85,2976554,141154640.0,康诺亚-B,02162,HK
2025-04-07,43.0,38.65,43.0,37.35,7552000,301972736.0,康诺亚-B,02162,HK
2025-04-08,40.15,39.0,40.9,36.95,3774412,145676844.0,康诺亚-B,02162,HK
2025-04-09,36.95,38.7,39.45,34.15,3714458,138188376.0,康诺亚-B,02162,HK
2025-04-10,39.2,40.8,42.0,39.2,1873500,77011175.0,康诺亚-B,02162,HK
2025-04-11,40.25,43.85,44.2,40.15,1900700,81039405.0,康诺亚-B,02162,HK
2025-04-14,45.75,45.3,45.9,43.5,2809000,125812325.0,康诺亚-B,02162,HK
